Date,Sign,Text
16 may 2018,aries,"The new moon in Taurus is your annual ticket to start seeing more money, Aries! You’re in an awesome position to earn more, and the seeds you plant now could pay off by November. Brilliant Uranus just entered this sector yesterday, so pay attention to ideas that pop into your head—even the “crazy” ones. They might actually be the most lucrative!

"
17 may 2018,aries,"Don’t be surprised if you suddenly realize that your values are changing, and as a result, your plans need an overhaul. High octane Mars is stirring things up in your big dreams sector. Don’t be embarrassed to admit that something isn’t working, and that you need to move on!

"
18 may 2018,aries,"Your ability to plan and impress others is off the charts today, Aries. You’re coming n from a disciplined, logical place and it will show. Once the Sun enters Gemini on Sunday you should be meeting with even more people, and promoting yourself further.

"
19 may 2018,aries,"Yum! Venus glides into your warm and fuzzy domestic sector, making you crave more quality time with loved ones. And yes, that includes you! Over the next three weeks you should focus more on enjoying life than climbing the proverbial ladder.

"
20 may 2018,aries,"Got some things to get off your chest? The next four weeks are perfect for this now that the Sun is in your communication sector. Yesterday gentle Venus glided into your house of family and feelings, so now is the time to let loved ones know how you truly feel. Let the past be the past and move forward.

"
21 may 2018,aries,"The way you approach situations and people could use an update, Aries. With the Moon in creative Leo, think about how you could switch up the way you think, speak and problem solve. Read a book, listen to a podcast or find a mentor who can help you polish your skills.

"
22 may 2018,aries,"Logic and passion meet up nicely with a Mercury-Neptune connection. The entire week ahead looks like a highly inspirational one, so think about how to add more pizzazz into your life.

"
23 may 2018,aries,"Keep a lid on fantasies today, ram. Optimistic Jupiter is veering off into lala land, possibly making you think in unrealistic ways. This energy will reoccur on Saturday, so think before you act.

"
24 may 2018,aries,"Your self-esteem rises as the red hot Sun and Mars form a glorious trine in the heavens. This is no time to hide in the shadows. Put yourself out there, as people will want to work with you, have fun with you and make love to you!

"
25 may 2018,aries,"Fantasies may be flowing through your mind thanks to a yummy Jupiter-Neptune aspect. But this isn’t about rainbows and unicorns and other unrealistic stuff. No, this is about letting your creativity and emotions flow. Inspiration is out there for you: let it in.

"
26 may 2018,aries,"You’re in quite a persuasive situation these days, so take this cosmic energy and run with it. Negotiate a deal, ask someone for a favor, flirt, self-promote and step into a role of personal power. Once Mercury changes signs next Tuesday you’ll become even more well spoken!

"
27 may 2018,aries,"It looks like you’ve been burning the candle at both ends and need some R & R, Aries. With so much planetary activity in your success sector, you’re probably anxious to get things done. But your body and mind only have so much energy, and like batteries, they need to be recharged.

"
28 may 2018,aries,"Your emotions will be pitted against logic as the passionate Moon opposes intelligent Mercury. This isn’t surprising considering that a full moon is on the way tomorrow, but negativity has no place in your life right now. The full moon occurs in the most optimistic, free-thinking parts of your chart—all the more reason to chuck the “poor little me” stuff!

"
29 may 2018,aries,"The past few years may have been bumpy with unpredictable Uranus in your sign. But now it’s gone, and taking chances can be done without a feeling of dread! Tonight’s full moon will push you to do just that as it occurs in your house of optimism and adventure. Mercury moves into a thoughtful and logical place, adding to the sense of stability.

"
30 may 2018,aries,"Your confidence should  be rising with the Moon in brave Sagittarius, but something seems to be holding you back. Most likely it’s your own irrational fears. Deceptive Neptune is drumming up worst case scenarios today, so avoid that trap.

"
31 may 2018,aries,"Someone may be critical of you today but it won’t faze you a bit. You’re on the right track, you know it and nothing is going to push you off of it. Naturally, if it’s honest feedback that you’re receiving you should pay attention to it. Otherwise, fuhgeddaboudit

"
1 june 2018,aries,"The next week is super for teamwork, whether you’re planning an escapade with your friends or working on some kind of work project. It’s time to get out of the planning stage and into the “doing” stage. Push hard but keep things under wraps as Neptune is in a funky spot from your house of confidentiality.

"
2 june 2018,aries,"If you want to retreat into your own little world this weekend, by all means do! The two most beneficial planets, Venus and Jupiter, are nestled in houses that crave security, comfort and relaxation. Sunday is better for hanging out with friends, so why not plan a group trip to a spa?

"
3 june 2018,aries,"There’s nothing wrong with being popular and in demand, Aries! Social invitations could be coming your way and if you’re smart you’ll accept them. New people will enter your life who can change it for the better.

"
4 june 2018,aries,"Over the next week some tricky aspects demand that you slow down and read between the lines. What are people really saying? Can you trust the information you’re receiving? Fortunately a solid Mercury-Sun aspect puts you in a logical, clear-sighted place today, so take advantage of it.

"
5 june 2018,aries,"Feeling on edge? Could be with today’s Pluto-Venus opposition. Someone may try to get the upper hand in a situation. Or maybe it’s just insecurity on your part. But if you truly feel as though someone is trying to manipulate you, then don’t give in.

"
6 june 2018,aries,"Got your Spidey sense going on today? You should, because it appears that someone is going to try to BS you big time. The problem is that it may seem all so logical and clear cut. It’s not, so wait a few days before you come to any conclusions about what’s going on.

"
7 june 2018,aries,"Your logical mind will be at war today with your intuition due to a tense Sun-Neptune square. As a result, you shouldn’t make any major decisions. Nor should you believe what certain people are saying. The new moon next week in Gemini is your best time to figure out what’s going on.

"
8 june 2018,aries,"Woo-hoo! The weekend is almost here and the Moon is now in Aries. The past few days have been tense but now it’s time to take good care of yourself. You may feel as though you should be productive and get things done, but chill out instead.

"
9 june 2018,aries,"Are you playing by someone else’s rules, Aries? If you feel that way, it’s time to create your own play book. Once Venus enters your house of creative thinking next Wednesday, you should have no problem in developing one.

"
10 june 2018,aries,"Focus like a laser beam, Aries. Cut out the fluff— things or people who aren’t necessary. If you need to strategize with other people or to get your ideas out there, wait for the new moon to arrive on Wednesday.

"
11 june 2018,aries,"You need to get your financial house in order stat, Aries! According to your chart you may be overly optimistic about how much money is coming in and when. Don’t expect overnight results. Start saving more now.

"
12 june 2018,aries,"If your closest relationships have had you perplexed, help is on the way. Smart little Mercury zips into your house of home and family, which also includes your relationship with a lover. There’s a lot of logical energy going on thanks to other planets in helpful positions, so stay calm and talk things over.

"
13 june 2018,aries,"The Gemini new moon kicks off a productive six-month period in which you should be promoting yourself! It’s also super for anyone who needs to communicate their thoughts for a living, such as teachers, students, sales people, artists and leaders. There’s a highly creative vibe at play, so think about fresh ways you can express yourself. If this means taking a class or attending a seminar, so be it.

"
14 june 2018,aries,"Clingy much? If anyone is sticking to you like a piece of lint, chances are that it’s going to get on your nerves damn quick. And make sure that you’re not the one in Klingon mode. Neediness is never appealing.

"
15 june 2018,aries,"People mean business today, and they could even get pushy about it. This is not a smart time to give in to someone else’s demands as the consequences could be long lasting. Take your time and refuse to be painted into a corner.

"
16 june 2018,aries,"Energy is building in your domestic sector, which means that you should be spending more time with family and loved ones. This includes pets! And if you have been giving to everyone else without spending enough time on your own needs, it’s time for some extreme self care.

"
17 june 2018,aries,"Your confidence and creativity are high, but don’t get too carried away with yourself. Everyone, no matter how talented or charming they are, can grow. Stay humble and keep learning.

"
18 june 2018,aries,"Your thinking could get fuzzy now that Neptune is retrograde in the house of your subconscious mind. As a result, you’ll need to double check facts and assumptions over the next few months. Take your time before making major decisions and seek the advice of experts if need be.

"
19 june 2018,aries,"Your net worth can get a boost thanks to a meeting of abundant Jupiter and shrewd Mercury. Great day to cut a deal, research investments or consider a joint venture. Real estate deals are favored too, such as leases and mortgages.

"
20 june 2018,aries,"Your words carry weight today….and they can also convey affection and joy. This is a wonderful time to let others know what you’re thinking and feeling, so don’t hold back.

"
22 june 2018,aries,"A series of positive coincidences could occur, things that could improve your life in a number of ways. These events are designed to bring you more stability and a sense of relief. Over the next four weeks you really make progress with real estate, family and income matters.

"
23 june 2018,aries,"Over the next week people could be demanding, whether it’s a boss, family member or lover. This energy begins today, so try to steer clear of those who seem to think that the world (and you!) owes them a favor. With next week’s full moon occurring in the most goal oriented part of your chart, there’s nothing wrong with just worrying about you for awhile.

"
24 june 2018,aries,"People in high places have noticed your can-do effort, and there could be an offer coming your way. Thursday’s full moon falls in your house of ambition, so within the two weeks that follow it you could receive good news. Just make sure that you know what you’re getting into. Is the new gig in line with your values?

"
25 june 2018,aries,"Your creative mojo is on the rise, so now is a smart time to dive into a project that is of interest to you. But be aware that it may take longer than you might think. Your emotions could be holding you back on this too, so let them go. Talking about something and actually doing it are two different things.

"
26 june 2018,aries,"Over the next few weeks you may decide to cut back on time spent with friends and extracurricular activities. Mars is now spinning backward in your house of networking, suggesting that you spend more time just taking care of you. It’s possible that you may decide to walk away from certain connections as they may no longer fit the person you’ve become.

"
27 june 2018,aries,"People in positions of power could be testy, so don’t be too quick to push their buttons. The full moon tomorrow falls in your house of ambition and you are so close to scoring a major win. Steer clear of moody bosses, be a team player and put a smile on your face.

"
28 june 2018,aries,"Every year each sign gets one full moon in their house of ambition and success, and tonight is your’s. Something important to you could be coming to a successful close over the next two weeks, but it may come with a price. Don’t sell out your goals or standards to someone who wants you to do things their way.

"
29 june 2018,aries,"Express yourself! Verbal Mercury is now in your house of romance and fun. This is usually a very lighthearted energy, a time when people just want to flirt and socialize. But considering that yesterday’s full moon fell in your house of traditional goals, chances are you’re looking for more than just a quick fling.

"
30 june 2018,aries,"Aries people are known for their independent spirit, but sometimes ya just gotta play by the rules. Today is one of those days! If you decide to play fast and loose, it could catch up with you.

"
1 july 2018,aries,"Power. The word works well when we’re talking about armies or corporate leaders, but it gets people a bit twitchy when used  in a romantic context. But that’s what you have to do today–figure out how to create a balance of power within a close relationship. It can be done, so adjust your mindset.

"
2 july 2018,aries,"The planets are encouraging you to become more creative. Sure, this can mean redecorating your crib or switching up your appearance. But today a profitable Saturn aspect indicates that you should beef up your talent base. The more skilled you are, the more money you can demand.

"
3 july 2018,aries,"Yum! The passion index is mighty high for rams as the mysterious Moon winks at Jupiter. Both orbs are in romantic sectors, so set aside some time for your honey. Don’t have one? Then take a look around. Someone may be secretly crushing on you!

"
4 july 2018,aries,"It’s a vibey day for you as intuitive Neptune is spot on. You may realize that some of the things or people you’ve been concerned about are not worth it, and that it’s time to move on to a happier and more serene place.

"
5 july 2018,aries,"Situations that may have been unclear are now being illuminated, and the future is looking bright. A happy Sun-Jupiter trine brings back optimism and confidence. But remember to listen to your own inner voice rather than the opinions of others.

"
6 july 2018,aries,"Pay close attention to the company you keep, Aries. People may be anxious to connect with you, but are they doing so for the right reasons? Likewise, don’t be too quick to join a certain crowd. Take your time and be selective.

"
7 july 2018,aries,"An energetic lunar aspect could push you–quickly at that–to make some major changes in your career or financial situation. You’re in a place where it’s not enough just to pay the bills; you want to create wealth. Over the next week you can expect some inspiration.

"
8 july 2018,aries,"An unexpected expense could arise today, but don’t sweat it. On the flip side, you could also suddenly come up with a way of earning more money. Jupiter has been back stroking in your house of net worth, and is getting ready to go direct next Tuesday. Once it does your financial picture looks a lot brighter.

"
9 july 2018,aries,"Being healthy in all parts of your life is going to be a lot more important now that Venus is in your house of wellness. This includes romance, so ditch the drama. True love demands respect and cooperation.

"
10 july 2018,aries,"Optimism returns to the two most important areas just about anyone’s life, love and money! Jupiter has been retrograde for the past few months in the sector that governs close relationships and your net worth. But today it starts to chug forward again, helping you create a stronger foundation in love and finances.

"
11 july 2018,aries,"Stop playing by the rules all the time! With fun loving Venus in your house of habits, it’s time to do things a little bit more spontaneously. And with the planet of serendipity, Uranus, active today as well, you really should be considering how you can break as many rules as possible (without breaking the law, of course).

"
12 july 2018,aries,"People may be hard to read today, which could get frustrating. The more you push, the less information you will receive. So count to ten, walk away from the situation and wait for a better day to find out what’s going on.

"
13 july 2018,aries,"Some big residential changes can take place over the next six months, Aries. Today’s solar eclipse in the domestic part of your chart is the first in a series that will run through the year 2020. Getting married, starting a family or finding a new place to live are all on the table. You could also remodel or redecorate your place. It’s time to feather the nest.

"
14 july 2018,aries,"Practicality rules with a happy Venus-Saturn trine. It’s all about making life simple, whether we’re talking about your love life, your home or your professional life. Simplicity can be a beautiful thing.

"
15 july 2018,aries,"The recent solar eclipse has placed a focus on your inner contentment. It’s a good time to create some positive new habits, such as meditation or a gratitude journal. Rituals don’t have to be a hassle; they can actually be a soothing addition to your daily life.

"
16 july 2018,aries,"With gentle Venus currently cruising through your house of efficiency, you may think that you can take on the world. But there is a limit to your energy level. Be practical about what tasks you agreed to take on. And don’t let others dump their grunt work on you!

"
17 july 2018,aries,"Don’t make too many sacrifices, Aries. There are only 24 hours in the day, and you only have a certain amount of energy. A lunar aspect warrants that people may try to take advantage of your good nature and work ethic. Do what is best for you.

"
18 july 2018,aries,"Sometimes you need to take a timeout to examine what your values are, and today’s a perfect day for doing so. If people around you or circumstances are not in sync with your values, it’s time to make some changes. The good news is that some fresh new faces are going to come into your life, people who share your ideas.

"
19 july 2018,aries,"It’s time to get your finances in order! With erratic Uranus cruising through your house of income and savings for the next few years, you can’t afford to be uncertain about where money is coming from. A lunar aspect today might encourage you to spend, but put the plastic away.

"
20 july 2018,aries,"There’s nothing wrong with pulling away from all of the crazy madness of the world and spending some time alone. With inspirational Neptune in a helpful spot, your thoughts could lead you down an exciting new path.

"
21 july 2018,aries,"A happy romance requires teamwork and that’s what’s on offer from the cosmos today. This is a smart day to get your opinions and emotions out there on the table. Don’t feel as though you have to do everything in the relationship. If you need help, ask for it.

"
22 july 2018,aries,"Yee-ha! Now that the Sun is in Leo your love life will start heating up. But don’t try to go too far, too fast––Mercury is getting ready to retrograde in the same sector on Thursday. Keep drama to a minimum, slow down and enjoy the ride.

"
23 july 2018,aries,"Loose lips sink ships, Aries. You’d be wise to keep personal information just that today… personal. Make sure that you don’t spill anyone else’s secrets either, and that includes trade information. This vibe continues into next week, so be prepared to be quiet.

"
24 july 2018,aries,"Who can you trust, Aries? A Venus-Neptune opposition makes it difficult to separate fact from fiction. If your intuition tells you that something is off, it probably is.

"
25 july 2018,aries,"An unexpected event could throw you off balance. With hotheaded Uranus squaring off against the imperious Sun, you run the risk of losing your temper. Don’t go there, because that is exactly what some people may be hoping for.

"
