,Date,Sign,Text
44,15 march 2019,aries,"
Are you dying to be in the spotlight? It’s not a good move under current cosmic skies. No matter how talented you are, or how much you want to share your ideas, you’re better off remaining silent. Don’t worry, this energy doesn’t last long. Sit tight for another week.

"
45,16 march 2019,aries,"
Things that used to seem difficult may now be easier to handle, Aries. That’s because you are stepping into a place of greater personal power. This is good news, as the Sun will be entering your sign next Wednesday. As they say, “more power to you!”

"
46,17 march 2019,aries,"
If you want the good things in life, the cosmos has your back. Assertive Mars is in your house of goals and success, propelling you forward. However, today is not so much a day for action as it is for thinking things through. Once the Sun moves into your sign on Wednesday,It’s time to kick things up a few notches.

"
47,18 march 2019,aries,"
Rome wasn’t built in a day, Aries! And your dreams are going to take a while to manifest also. Don’t let this get you down. Adjust your expectations and be more realistic about timelines.

"
48,19 march 2019,aries,"
The Sun is getting ready to enter your sign tomorrow, and the planets are lining up nicely. Powerhouse Pluto and disciplined Saturn are active in your house of goals. What would you like to manifest in your birthday year ahead? Just don’t rush in. Mercury is still retrograde.

"
49,20 march 2019,aries,"
YASSSS!!!!! The Sun is now in Aries, so happy birthday to you. There is some interesting energy going on: Mars and Pluto, the two most forceful planets, are forming a bromance in your money and career sectors. Something to think about…..

"
50,21 march 2019,aries,"
The Libra full moon focuses on your closest relationships. Pay attention to the kind of people you are associated with: do they share your values? Do they support you, even if they have a different philosophy about life? Stick with the kind of people who fill you up with joy. 

"
51,22 march 2019,aries,"
This could be an illuminating day in which you realize that you are so much more: smarter, funnier, prettier, unique. The Sun is shining its light on the true you. Let that person out so the whole world can enjoy them!

"
52,23 march 2019,aries,"
Knee jerk reaction? That’s what could happen in love or money. Slow down, take a deep breath and think before you act. Your intuition is going to increase over the next few days and you’ll be able to figure out what to do.

"
53,24 march 2019,aries,"
Intuition and creativity go off the charts today, thanks to a Mercury-Neptune meet up! Use this energy for problem solving, developing your talent, snooping, or just having fun with hobbies. This vibe continues all week, so enjoy it.

"
54,25 march 2019,aries,"
Someone could provide you with excellent advice, so if you’re smart you’ll pay attention to it. You rams can be stubborn at times. The intel you receive could pull you out of a rut, all the more reason to listen.

"
55,27 march 2019,aries,"When the going gets tough, the tough get going. That’s an old, well worn phrase, and as a stubborn ram you know this better than anyone. But with Venus in your twelfth house it’s time to figure out ways to move forward without expending so much freakin’energy.

"
56,31 march 2019,aries,"The floodgates open! Mars enters your oh-so-chatty communications sector, telling you to get your message out there. Your brain will be crackling with ideas and people will be interested in what you have to say. The next two months are superb for socializing and short distance travel. Single rams, your best bet for meeting someone is right in your own neighborhood.

"
57,7 april 2019,aries,"Spend some quiet time today thinking about your long range goals, whatever they might be. Intelligent Mercury is in the most secluded part of your chart, forming a strong aspect with mature Saturn. Naturally you’re going to want to make more money, but isn’t there more to life than that? Consider your personal happiness too.

"
58,8 april 2019,aries,"You may be concerned about your money situation, but things could change in a very interesting way. Subterranean Pluto is helping you come up with new ideas that will increase the size of your bank balance. Just don’t go up against any authority figures this week, especially on Wednesday and Saturday. As my grandma used to say, “keep your cards close to your vest”. Keep quiet and play dumb.

"
59,9 april 2019,aries,"Someone may serve up some criticism today, and you will NOT be in the mood for it. Instead of going on the warpath, quietly pull away and mull things over. Your intuition is high and should be on point. Is there any truth to the criticism? If not, don’t sweat it. You’ve got better things to worry about than someone’s bad attitude.

"
60,10 april 2019,aries,"It’s one thing to be a visionary; it’s another to be in fantasy land. Jupiter begins a four-month retrograde in your house of thinking big. This will demand more attention to detail and planning on your part. That said, by August 11th you could create a magnificent path ahead. Onward and upward!

"
61,11 april 2019,aries,"You will be inexplicably drawn to all things mysterious and hidden, Aries. With magnetic Venus and murky Neptune meeting up in the most confidential part of your chart, you’re going to be like Sherlock Holmes with a magnifying glass. You can also play the role of a sexy spy, so get the boudoir warmed up and ready to go.

"
62,12 april 2019,aries,"Stick to the facts today. Everyone may have an opinion, including you. But opinions mean nothing unless they are backed up by something solid. This may require some patience and you may have to do some digging. However, true knowledge is power.

"
63,13 april 2019,aries,"If there’s something about yourself—or your life—that you’ve been trying to change, you could feel a little stuck. That’s because the Sun is squaring Pluto, planet of transformation. Don’t worry–this energy changes quickly, tomorrow in fact.

"
64,14 april 2019,aries,"Feeling gutsy and bold? You should be! Four  celestial orbs are pushing you to expand. This is no time to be timid. Nor should you listen to naysayers who will put down your ideas.  You’ve got what it takes, Aries, so let it rip.

"
65,15 april 2019,aries,"This is no time to kid yourself about any aspect of your life, Aries. Take off the rose colored glasses and be brutally honest with yourself. With shrewd Mercury entering your sign on Wednesday, you’ll be able to see things with crystal clear vision.

"
66,16 april 2019,aries,"Moody blues! A Moon-Neptune opposition could make you WAY too emotional. Even if you’re as cool as can be, others may be dripping with drama. Fortunately this energy is over by tomorrow.

"
67,17 april 2019,aries,"Talk much? You will be now that chatty Mercury is in your sign! But this aspect will also help you dazzle people with your image and personality. You’ve got the whole package, so don’t be afraid to work it, ram.

"
68,18 april 2019,aries,"You may feel that no matter what you do, nobody is happy. A Moon-Saturn square could bring out the critical side of people. But do you really care? Probably not! With practical Mercury in your sign, you understand that this is their problem, not yours.

"
69,19 april 2019,aries,"Hmmmm….you may need to adjust the way you communicate with people in your world, Aries. A full moon occurs in your house of partnering, and it demands some reflection on your part. Are you a team player? Or are you doing all of the giving while others take?  Be honest with yourself.

"
70,20 april 2019,aries,"The Sun leaves your sign today, but this is no cause for sadness. That’s because El Sol is now in your house of earning and saving more money! Besides, glamorous, amorous Venus glides into Aries, which means that the spotlight is still on you. The next three weeks are excellent for a makeover.

"
71,21 april 2019,aries,"The Sun is now in solid Taurus, which is a grounded sign. But you’re feeling a bit adventurous and there’s nothing wrong with that. Are other people going to be pleased with your sunny new attitude? Maybe not, but that’s not going to stop you.

"
72,22 april 2019,aries,"Thomas Edison, when asked about how he came up with so many inventions, said that “ideas are in the air.” He was acknowledging that inspiration from the cosmos is out there and we can tap into it. Pay attention to your thoughts, as an amazing Sun-Uranus aspect could bring you a money-making idea today and tomorrow.

"
73,23 april 2019,aries,"Adventure is calling your name, but can you afford to go off and do something spontaneous? As long as it doesn’t cost too much, or take time away from your ambitions. With so much energy in your success sector, you have to balance risk with reward.

"
74,24 april 2019,aries,"Put on your seatbelt….Pluto begins its retrograde in your house of ambition. Expect for things to get stalled, but don’t let this upset you. Over the next few months you could completely change your mind about your plans, coming up with even better ideas.

"
75,25 april 2019,aries,"Today could be one of those times when you take a good long look in your mirror and get ruthlessly honest with yourself. Even though it may be difficult, it’s a positive step in your personal advancement. Over the next few months you are going to get serious about the path ahead, more serious than you’ve ever been.

"
76,26 april 2019,aries,"People around you could be acting out, making you feel unsettled. The best thing that you can do is to remain unmoved, silent even. There could be more drama over the next few days, so let it unfold.

"
77,27 april 2019,aries,"With megamouth Mars in your communicating sector, no doubt you feel perfectly entitled to voice your opinion. The problem is that a difficult Neptune aspect indicates that others may not be as straightforward. This means that you could spill a lot, but they won’t…..and knowledge is power, which they will end up possessing. Be more strategic, Aries.

"
78,28 april 2019,aries,"It’s not your karma in life to suffer in a job or field that isn’t right for you. A Saturn-North Node opposition could make you feel a bit gloomy about your prospects, but not too worry. The ringed planet goes retrograde tomorrow, enabling you to come up with a Plan B.

"
79,29 april 2019,aries,"Slow mo’! Saturn starts to retrograde in your ambition sector, forcing you to slow down and ensure that you’re doing things right. Over the next few months your ideas and plans could change dramatically, for the better at that. But this doesn’t mean that you’ll be thinking small. On the contrary… the sky is the limit.

"
80,30 april 2019,aries,"A confusing Neptune-Mars square could be throwing off both your intuition and  the logical part of your brain. Needless to say, this is not a smart time to make decisions. Nor is it wise to blurt out what’s going on in that brain of yours, as you could be completely off. Silence is the best policy right now.

"
81,1 may 2019,aries,"You could sell ice cream to Eskimos under today’s fabulous aspects. So if you need to get a message out there, start hustling. Make the big ask. Crush it on social media. Flirt your little heart out. Not everyone will bite right away, but at least you’ve got the ball rolling.

"
82,2 may 2019,aries,"Ouch. Someone might try to pull a power play with you, and it could be a doozy. No matter how you try to be diplomatic, or how intelligent your argument might be, it won’t matter. Big egos don’t like to be shot down, do they? This might be one situation that it’s smarter to walk away from.

"
83,3 may 2019,aries,"Your sign is famous for being intrepid and you are going to live up to that reputation today! A wonderful Mercury-Jupiter trine allows you to strike off bravely in the direction of your choice. You won’t be looking back, either. Good for you.

"
84,4 may 2019,aries,"A new Moon occurs in your house of money, ram. This is one of the best times in 2019 to start earning more and saving more. But if you have big dreams that cost money, it’s critical to be conservative in your approach. A Mars-Jupiter opposition warns against diving into expensive ventures too quickly.

"
85,5 may 2019,aries,"People could be blustering and bloviating, and your tolerance for their BS will be pretty low. Before you lash out take a deep breath and count to ten. This battle probably isn’t worth it. Let them take their inflated egos somewhere else.

"
86,6 may 2019,aries,"The road ahead becomes clearer now that Mercury is in your regulated, stable second house. You are in an awesome position to create security in all areas of your life: emotional, financial, romantic, health, you name it. Needless to say this will require creating better habits and routines, but with Venus in Aries, this should be easy.

"
87,7 may 2019,aries,"This is not a day to bend the rules, Aries. Stern Saturn is in a tough ass mood, demanding that everything be done the right way. You might even feel overwhelmed by people or situations. The best thing you can do is to chill out and meditate, because Neptune is active in the house of your subconscious mind.

"
88,8 may 2019,aries,"Woo-hoo! Two of the brainiest planets in the solar system, Mercury and Uranus, meet up in the heavens. In your case, Aries, they connect in your house of making more money. You could uncover a genius idea for a product or service that could make you wealthy. It’s also an auspicious day for landing a higher paying gig. Pay close attention to your thoughts and dream state as your intuition is high.

"
89,9 may 2019,aries,"You’re feeling feisty and independent… good for you! A terrific Venus-Jupiter trine lifts you up. But not everyone wants to see you soar like an eagle. You know what to do with people like this: ignore them or dump them. The end.

"
90,10 may 2019,aries,"An internal battle may be brewing as you can’t decide whether to come on strong or back down. You know what they say: “you have to know when to hold ’em, and know when to fold ’em.” Don’t worry, this energy passes quickly. By tomorrow you’ll be able to see things more clearly.

"
91,11 may 2019,aries,"From your chart it’s looking like you’re craving more structure in your life, which isn’t such a bad thing. You also wants answers and commitments, so if you need to approach somebody, today is a good time to do so. Next Tuesday also works.

"
92,12 may 2019,aries,"The Moon is in flirtatious Leo, telling you to forget about your responsibilities and just have some fun. It winks at Venus in the house of adventure, all the more reason to take the day off and play. You have a lot of planetary energy later this week focused on career, so chill our and recharge your batteries.

"
93,13 may 2019,aries,"Gotta love it when the two of the most authoritative orbs in the solar system–Pluto and the Sun–are having a bromance. They are in your houses of mo’ money and crushing it in your career, so you are in an awesome spot for making progress. It’s time to step up and take charge of your life rather than waiting for things to fall into your lap.

"
94,14 may 2019,aries,"“You don’t ask, you don’t get.” That’s an old saying thrown around by salespeople and it really is true. A terrific Mars-Venus aspect tells you to ask for what you want: the date, the job, the raise, the wedding ring, the vacation, whatever floats your boat. Don’t assume that everyone is reading your mind.

"
95,15 may 2019,aries,"Big day in the cosmos! Venus enters your house of earning more money, while Mars zips into the domestic sector. This is good news for those rams who are saving for a house or a remodeling project. These sectors also deal with stability and contentment, so finding peace within close relationships will become more important to you.

"
96,16 may 2019,aries,"You’re as serious as a heart attack and people will be paying attention to your words. As a result, get important messages out there. Mature, logical Saturn has your back, and verbal Mercury does too. Whether you’re talking things over with a lover or promoting your brand, now’s the time to sat your piece.

"
97,17 may 2019,aries,"Curb your enthusiasm? You may need to temper your words and actions, Aries. A Mercury-Jupiter aspect indicates that you should slow down, promise less and be more attentive to details. A slowdown is not the same as quitting. Keep on moving forward, but be more observant in the process.

"
98,18 may 2019,aries,"The Scorpio full moon is a winner for scoring big, as in Big Money. It falls in your house of net worth, and a fantastic Mercury-Pluto trine could help bring in a raise, new job or higher revenues if you’re self-employed. Pay close attention to your intuition too, since Uranus (the planet of genius ideas) is active in your income sector.

"
99,19 may 2019,aries,"Life is about to become a lot more lively with the Sun and Mercury moving into one of the most social parts of your chart tomorrow. Today you need to wrap up financial negotiations, especially the kind that leads to a raise or new job. The next few weeks are excellent for promoting yourself and brainstorming with other people.

"
100,20 may 2019,aries,"A Moon-Jupiter connection spurs your desire to try new things. But murky Neptune could be making you see too many shiny, bright things. Try to narrow your choices down to just a few and take things one step at a team.

"
101,21 may 2019,aries,"Can we TALK?! Egads, not only does the Sun enter chatty Gemini, so does verbal Mercury. Honey, you are in an awesome position to get the word out over the next few weeks, whatever that means to you! You can crush it on social media. Flirt like no one’s business. Negotiate like a Fortune 500 exec. It’s also a super time for all Aries artists and creatives to shine.

"
102,22 may 2019,aries,"A money-making idea could hit you today and it could be pure genius. Better yet, it won’t be off-the-wall crazy either. Home based businesses are especially favored right now, so consider a side hustle or full-time domestic gig.

"
103,23 may 2019,aries,"If anyone tries to put you down or hold you back, I wish them a lot of luck! People may try to use guilt to get to you. Or perhaps they’ll try to make you think that you can’t pull something off. But they’re wrong, and you know it!

"
104,24 may 2019,aries,"They say that money talks, and right now it may be talking too much. Don’t get caught up in materialistic pursuits, ram. Trying to keep up with others or judging people by their bank account is not the way to go. And if you’re surrounded by people who are doing this, it may be time for some new friends.

"
105,25 may 2019,aries,"It’s Memorial Day weekend in the US and the planets want you to have a good time! Kick off the beginning of summer with the tribe. Plan some adventures. With happy-go-lucky Jupiter in your house of living la vida loca, you DESERVE to have some fun!

"
106,26 may 2019,aries,"Talking things over with someone is a better use of your time than simmering in resentment. It’s also better than arguing. You need to reduce drama, not perpetuate it or increase it. Namaste.

"
107,27 may 2019,aries,"“Slow down, you move too fast. Got to make the morning last! Just kicking down the cobblestones, looking for fun and feeling groovy.” You may be too young to remember this song, but the word “groovy” ought to tip you off that it’s from the 60s. A wonderful Moon-Neptune aspect today recommends that you kick back, relax and have some fun.

"
108,28 may 2019,aries,"Following the rules may make you feel safe. After all, we don’t always want to stand out or appear to be a rebel. But deep inside you may realize that you don’t want to do things the same way as everyone else. You don’t have to! But today’s not a smart time to make a big proclamation about it. Do your own thing behind the scenes.

"
109,29 may 2019,aries,"Shut yo’ mouf! Yeah, it’s a good day to keep things on the downlow. Chatty Mercury squares deceptive Neptune, which just happens to be in the house of confidentiality. Unless you want to make a total fool of yourself, or reveal state secrets to the enemy, you need to zip it. Tight.

"
110,30 may 2019,aries,"Don’t make promises you can’t keep, babe! And watch out for people who could do the same to you. They may not mean any harm, but overoptimistic Jupiter could be sprinkling star dust in their eyes. Tomorrow is a better time to get a clear picture as to what’s going on.

"
111,31 may 2019,aries,"The weekend starts off with a sizzle thanks to amorous Neptune and Venus forming a trine! Not only will these two help you find or enhance love, they can also inspire you to increase your cash flow. If you’ve been considering a job change or entering a new field, this is a good time to do some research.

"
112,1 june 2019,aries,"June begins with a request from the cosmos to balance practicality with taking chances! You’re in an awesome spot to shake things up, but making big changes without thinking them through is just foolish. Relying on gut hunches is not advised right now either. Think things through with the lest side of your brain.

"
113,2 june 2019,aries,"You know what you want and you’re not afraid to ask for it. So go ahead and be vocal! Considering that tomorrow’s new moon occurs in your house of communicating, the next two weeks are perfect for expressing yourself.

"
114,3 june 2019,aries,"The Gemini new Moon helps to put thoughts into words. Practical Saturn is well aspected to this lunation, ensuring that you’ll be thinking logically. As a result you’ll be able to make progress. Just don’t expect everyone else to be as forthright as you are, however. A wonky Neptune aspect could create confusion.

"
115,4 june 2019,aries,"There may be plenty of people trying to tell you what you should do, but that doesn’t mean that you have to listen to them. As a matter of fact, now that logical Mercury is in your house inner comfort, you’re not going to let anyone disrupt the flow of your precious chi.  Keep calm and carry on.

"
116,6 june 2019,aries,"Jangled nerves, stress and discontent start to ease up as gentle Venus is active in your house of stability. Pull away from known divas and a**holes if at all possible. You need a break from the crazy world, ram. Take it.

"
117,7 june 2019,aries,"Be open with people today and tomorrow. Too many tense emotions have been building up, and you need to release them. Do this before Sunday, though, as the cosmic skies get cloudy then.

"
118,11 june 2019,aries,"Sunny optimism works some days, but today is all about being realistic.You can’t afford to use hope and a prayer, as lovely as that sounds. The fiery Sun opposes Jupiter, demanding that logic rules. This theme runs through your chart all the way through the full moon on the 17th, so remain focused.

"
119,12 june 2019,aries,"In Italian families there is often a person who becomes the consigliere, whether they like it or not. This is the name for someone who gets stuck doing all of the hand holding, the peace making and problem solving. It’s usually a thankless job! So if your family (or friends) view you as the go-to person when the sh** hits the fan, then maybe it’s time to drop this role.

"
120,13 june 2019,aries,"Tone things down a little, ram. Your sign is well known for being direct but right now you need to be a bit more diplomatic. Don’t worry, you won’t be perceived as being weak!

"
121,14 june 2019,aries,"Flattery will get you everywhere today; being straightforward will not. You’re such an independent, confident sign that you tend to tell it like it is. Not today, ram! Let your talent shine too. People will be impressed by your skills and eloquence.

"
122,15 june 2019,aries,"You’re always so understanding of other people’s needs; now it’s your turn. A lunar aspect urges you to say what’s on your mind. This is especially true with family and a lover. Otherwise tension will build and reach critical mass, most likely by the middle of next week.

"
123,16 june 2019,aries,"This is a good day to go with the flow rather than following a typical routine. You’re in an intuitive place, so use your sixth sense to your advantage. People may criticize you for being so vibey instead of rational, but what do they know? Unless they’re an Aries too, they’re in the dark.

"
124,17 june 2019,aries,"The Sagittarius full moon could bring an audacious plan to a successful finale! And if you haven’t been working on anything that’s adventurous, it’s a good time to start. From your chart it appears that you’re growing tired of being hemmed in. Carpe diem.

"
125,18 june 2019,aries,"Determination sets in as a strong Saturn aspect fires up your resolve. Love, career, money matters: you want things done and you want them done now. But what’s nice is that there is a sense of ease with this, a knowingness that things will work out well.

"
126,19 june 2019,aries,"Ugh. A standoff between Mars and Pluto is going to bring out egos and tempers. Authority figures or systems (like a government agency) could be difficult to deal with. It’s up to you as to whether you should engage in this battle or not. If you can, wait until Friday to deal with these people.

"
127,21 june 2019,aries,"Big day in the cosmos! The Sun enters Cancer, your domestic sector, and Neptune starts to retrograde. Over the next few weeks some old childhood dramas and family dynamics could come back, if just in your mind. It’s important to work through these issues now. A solar eclipse occurs here on July 3rd, and it gives you the opportunity to move ahead with a lighter heart.

"
128,22 june 2019,aries,"Don’t be so emo! This could be tough to do with the Moon in the most sensitive part of your chart. Instead of letting your feelings take over, why not dig a little deeper and ask yourself what those emotions are trying to tell you.

"
129,23 june 2019,aries,"It’s one thing to be a visionary and another to be a bloody fool. People will be thinking larger than life today, but that doesn’t mean that they have a clue about what’s going on. Watch out for unrealistic thinking, not only on the part of others, but with yourself.
 

"
130,24 june 2019,aries,"You may appear confident on the outside, but inside is another story. With murky Neptune in a shaky spot in the most psychological part of your chart, you could be a bit emotional. A strong lunar aspect tomorrow helps you realize just how much you have going for you!

"
131,25 june 2019,aries,"Sometimes less is more, Aries. You’re better off taking on a few things and finishing them rather than too many and doing a half assed job. Mercury enters your talent sector tomorrow, so you will be in an excellent place to lavish your skills on a few important choices.

"
132,26 june 2019,aries,"How sweet it is! Lively Mercury zips into your house of romance, shopping, dining out and having fun. Take this energy and run with it before Mercury goes retrograde on July 7th. The pace may slow down a little bit between then and the 19th.

"
133,27 june 2019,aries,"Something unusual could happen today, something that will bring you greater peace of mind. Maybe it’s a raise or a job offer. Perhaps a family or romantic situation gets resolved to your liking. The next three days are all well aspected for creating more stability in your life.

"
134,28 june 2019,aries,"You’re playing for keeps, something that people are going to start to realize about you. Logical Saturn is guiding you in your long term decision making. This is important, as two eclipses in July will bring about massive changes in your career and home environment.

"
135,29 june 2019,aries,"You are so used to being direct and honest that sometimes you forget that a little bit of charm go a long way. A sweet lunar aspect can help you speak or write the kind of words that will impress and cajole others. Go back to being an obstinate ram another day!

"
